date,price,supply,subsidy_cumulative,fees_cumulative,realized_cap,realized_price,mvrv,supply_in_profit,coindays_destroyed_cumulative,lth_supply,sth_supply,lth_transfer_volume_cumulative,lth_realized_price,sth_realized_price,lth_realized_profit_cumulative,lth_realized_loss_cumulative,sth_realized_profit_cumulative,sth_realized_loss_cumulative,hash_rate,difficulty,block_subsidy_btc,non_zero_addr_count,addr_count_over_0p001_btc,addr_count_over_0p01_btc,addr_count_over_0p1_btc,utxos_over_1y_old_supply,utxos_over_1y_old_transfer_volume_cumulative,utxos_over_2y_old_supply,utxos_over_2y_old_transfer_volume_cumulative,utxos_over_3y_old_supply,utxos_over_3y_old_transfer_volume_cumulative,utxos_over_4y_old_supply,utxos_over_4y_old_transfer_volume_cumulative,utxos_over_5y_old_supply,utxos_over_5y_old_transfer_volume_cumulative,utxos_over_10y_old_supply,utxos_over_10y_old_transfer_volume_cumulative,subsidy_daily,fees_daily,coindays_destroyed_daily,lth_transfer_volume_daily,lth_realized_profit_daily,lth_realized_loss_daily,sth_realized_profit_daily,sth_realized_loss_daily,utxos_over_1y_old_transfer_volume_daily,utxos_over_2y_old_transfer_volume_daily,utxos_over_3y_old_transfer_volume_daily,utxos_over_4y_old_transfer_volume_daily,utxos_over_5y_old_transfer_volume_daily,utxos_over_10y_old_transfer_volume_daily,market_cap_usd,days_since_genesis,years_since_genesis
2012-07-07,6.76,9401490.18231876,9401640.18231876,5432.39422761,46432556.82,4.93,1.371197,7920977.6803306,1978832390.443859,6122864.62005241,3278625.56226635,3040407.09443757,4.56,5.64,17626211.4,6274461.98,44645627.7,34952642.33,14626966568898.236,1751454.535340679,49.99997952,730619.0,374575.0,312520.0,179516.0,4181494.11024227,808573.21401805,1638751.9,159576.49,765899.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8299.996500000358,42.86993213000005,5254246.430462837,12383.703669609968,7942.759999997914,85313.40000000037,28986.690000005066,3739.8799999952316,9688.044090779964,0.0,0.0,0.0,0.0,0.0,63554073.63247482,1281.0,3.5071868583162216
2012-07-08,6.73,9409140.18081876,9409290.18081876,5443.89675528,46537078.66,4.94,1.362348,7848791.28442531,1981609518.92633,6122826.93210984,3286313.24870892,3044241.46094641,4.56,5.66,17638546.68,6277819.2,44697489.02,34960045.76,13320987410960.895,1751454.535340679,49.99998976,732413.0,375268.0,313038.0,179329.0,4183642.17050665,809783.65711653,1641287.9,159626.49,768549.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7649.998500000685,11.502527670000745,2777128.482470989,3834.3665088401176,12335.280000001192,3357.2199999997392,51861.3200000003,7403.429999999702,1210.4430984799983,50.0,0.0,0.0,0.0,0.0,63323513.41691026,1282.0,3.509924709103354
2012-07-09,6.94,9417290.17331876,9417440.17331876,5459.79394864,46652197.43,4.95,1.40202,7985020.27317113,1984693515.545914,6122234.37138042,3295055.80193834,3050464.08839876,4.56,5.68,17649543.89,6292479.98,44774434.8,34973491.44,14365770737310.768,1751454.535340679,49.99995392,733521.0,375114.0,312640.0,179494.0,4199108.41798966,810939.01128998,1643967.9,159626.49,771149.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8149.992499999702,15.89719335999962,3083996.619583845,6222.627452350222,10997.210000000894,14660.78000000026,76945.77999999374,13445.679999999702,1155.3541734500322,0.0,0.0,0.0,0.0,0.0,65355993.8028322,1283.0,3.512662559890486
2012-07-10,7.08,9424790.16981876,9424940.16981876,5483.82586849,46265725.33,4.9,1.444898,8053175.05828701,2005452453.6667597,6082177.8668702,3342612.30294856,3099472.30034932,4.45,5.73,17659630.38,6844634.65,44883364.21,34979645.59,13059791579373.426,1751454.535340679,49.9999744,736422.0,376555.0,313608.0,179691.0,4165280.10509929,856199.53626652,1645912.95,159626.49,773849.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7499.996500000358,24.031919850000122,20758938.120845795,49008.211950559635,10086.48999999836,552154.6699999999,108929.41000000387,6154.1500000059605,45260.52497654001,0.0,0.0,0.0,0.0,0.0,66727514.40231682,1284.0,3.515400410677618
2012-07-11,7.15,9431490.16731876,9431640.16731876,5502.99921349,46417103.58,4.92,1.453252,8124070.86996205,2010018157.507485,6079851.90696037,3351638.26035839,3106893.27577168,4.45,5.76,17701181.66,6846244.41,44950578.24,34983023.96,11753812421436.082,1751454.535340679,49.99997952,738120.0,376749.0,313335.0,179542.0,4167009.05276807,861796.82535855,1664733.79,159726.49,776449.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6699.997499998659,19.173345000000154,4565703.8407251835,7420.975422360003,41551.28000000119,1609.7599999997765,67214.03000000119,3378.369999997318,5597.2890920299105,100.0,0.0,0.0,0.0,0.0,67435154.69632913,1285.0,3.5181382614647503
2012-07-12,7.59,9438990.16581876,9439140.16581876,5516.52928216,46523571.45,4.92,1.542683,8170072.63070665,2011379904.6518126,6085300.67804932,3353689.48776944,3108910.92582537,4.45,5.78,17704812.02,6847631.51,45007489.03,34989404.56,13059791579373.426,1751454.535340679,49.99998976,739496.0,377225.0,313492.0,179488.0,4176139.04324864,862007.39838966,1680922.8,159776.49,779249.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7499.998500000685,13.53006866999931,1361747.1443276405,2017.6500536901876,3630.359999999404,1387.0999999996275,56910.789999999106,6380.60000000149,210.57303111010697,50.0,0.0,0.0,0.0,0.0,71641935.35856439,1286.0,3.5208761122518824
2012-07-13,7.59,9447140.16521876,9447290.16521876,5530.92907282,46797177.62,4.95,1.533333,8043027.16749036,2015798863.5551784,6085252.36456814,3361887.80065062,3119675.45385912,4.45,5.85,17728722.15,6852832.04,45213204.01,35002052.39,14714031846094.06,1751454.535340679,49.99999488,739997.0,377618.0,313546.0,179188.0,4181028.59474789,862327.75352748,1695536.28,159776.49,782099.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8149.999399999157,14.39979066000069,4418958.90336585,10764.528033750132,23910.129999998957,5200.530000000261,205714.97999999672,12647.829999998212,320.35513781988993,0.0,0.0,0.0,0.0,0.0,71703793.85401039,1287.0,3.5236139630390144
2012-07-14,7.55,9455190.15307876,9455340.15307876,5546.25283371,46533885.81,4.92,1.534553,7965364.0576314,2031472403.5631878,6058112.16411297,3397077.98896579,3155395.85012092,4.37,5.9,17730406.94,7256597.69,45301541.73,35012370.36,14104574905723.299,1751454.535340679,49.9999232,741673.0,378809.0,314356.0,179446.0,4150555.36955362,896593.51760878,1708989.33,159826.49,783849.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8049.987859999761,15.323760889999903,15673540.008009434,35720.39626180008,1684.7900000028312,403765.6500000004,88337.71999999881,10317.969999998808,34265.7640813,50.0,0.0,0.0,0.0,0.0,71386685.65574463,1288.0,3.5263518138261465
2012-07-15,7.57,9462190.15107876,9462340.15107876,5563.85538434,46618084.18,4.92,1.538618,8058861.83616019,2033168891.30404,6068672.43741263,3393517.71366613,3159137.43467957,4.37,5.91,17741516.25,7258660.07,45331744.72,35020034.21,12537399916198.488,1751454.535340679,49.99998464,742834.0,378928.0,314357.0,179740.0,4153904.04261205,897325.37902627,1718593.4,160126.49,786649.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6999.998000001535,17.602550629999314,1696487.7408521175,3741.58455864992,11109.309999998659,2062.3799999998882,30202.990000002086,7663.85000000149,731.8614174900576,300.0,0.0,0.0,0.0,0.0,71628779.44366622,1289.0,3.5290896646132786
2012-07-16,8.3,9469690.14697876,9469840.14697876,5585.1419681,46886189.19,4.95,1.676768,8348344.40993466,2037738469.4114234,6074254.12146629,3395436.02551247,3163312.24108028,4.37,5.98,17752143.45,7266374.68,45551999.83,35032911.64,13059791579373.426,1751454.535340679,49.9999744,743479.0,379366.0,314633.0,179616.0,4158621.27371816,899043.75886624,1722872.53,160276.49,788499.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7499.995899999514,21.286583760000212,4569578.10738349,4174.8064007097855,10627.199999999255,7714.609999999404,220255.1099999994,12877.429999999702,1718.3798399700318,150.0,0.0,0.0,0.0,0.0,78598428.21992372,1290.0,3.5318275154004106
